header,latitude,longitude,altitude,accuracy,speed,heading,tracking,gps_fix,status
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987861, nanosec=252842511, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,119
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987865, nanosec=274649851, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,120
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987869, nanosec=209845097, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,121
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987869, nanosec=209845097, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,121
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987869, nanosec=209845097, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,121
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987869, nanosec=209845097, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17226196666667,-8.679851133333333,32.5,6.0,7.240908622741699,103.9000015258789,6,1,121
